epoch,epoch_loss,split,loss,acc,sample_fn
132,0.7829545,val,0.80821633,0.6650864472950363,gumbel_soft
132,0.7829545,test,0.8174239,0.6589750020901263,gumbel_soft
133,0.7972929,train,0.8229866,0.6406798313918478,gumbel_soft
133,0.7972929,val,0.82135344,0.6432422383342629,gumbel_soft
133,0.7972929,test,0.83024234,0.6387425800518352,gumbel_soft
134,0.7929192,train,0.7791807,0.6598974231192508,gumbel_soft
134,0.7929192,val,0.778836,0.6607176055028816,gumbel_soft
134,0.7929192,test,0.7977024,0.653039043558231,gumbel_soft
135,0.77900785,train,0.7732972,0.6682343902489669,gumbel_soft
135,0.77900785,val,0.7818864,0.664900539133668,gumbel_soft
135,0.77900785,test,0.7893714,0.6598110525875763,gumbel_soft
136,0.77439624,train,0.77703595,0.6545297867480637,gumbel_soft
136,0.77439624,val,0.78652793,0.6510503811117309,gumbel_soft
136,0.77439624,test,0.7874054,0.6420867820416353,gumbel_soft
137,0.7852838,train,0.7777527,0.6610706202371311,gumbel_soft
137,0.7852838,val,0.7767682,0.6672243911507715,gumbel_soft
137,0.7852838,test,0.80699867,0.655630800100326,gumbel_soft
138,0.77115285,train,0.7681401,0.6671753981602608,gumbel_soft
138,0.77115285,val,0.7562858,0.6736382227179774,gumbel_soft
138,0.77115285,test,0.7941376,0.6603126828860463,gumbel_soft
139,0.8064276,train,0.80551815,0.6588072842044063,gumbel_soft
139,0.8064276,val,0.82689357,0.6505856107083101,gumbel_soft
139,0.8064276,test,0.8238276,0.6464342446283755,gumbel_soft
140,0.81603974,train,0.7994878,0.6661786997238315,gumbel_soft
140,0.81603974,val,0.79700893,0.6784718349135527,gumbel_soft
